count,word,rank
10,coming,558.0
10,industry,558.0
10,showed,558.0
10,regular,558.0
10,found,558.0
10,situation,558.0
10,professional,558.0
10,must,558.0
10,per,558.0
10,idea,558.0
10,open,558.0
10,yelling,558.0
10,handed,558.0
10,everybody,558.0
10,living,558.0
10,term,558.0
10,immature,558.0
10,rarely,558.0
10,completely,558.0
10,head,558.0
10,gave,558.0
10,phone,558.0
10,strict,558.0
10,complete,558.0
9,too,610.5
9,unfortunately,610.5
9,upward,610.5
9,structure,610.5
9,multiple,610.5
9,are,610.5
9,occasionally,610.5
9,despite,610.5
9,class,610.5
9,felt,610.5
9,relatively,610.5
9,already,610.5
9,certain,610.5
9,while,610.5
9,allowed,610.5
9,bored,610.5
9,demand,610.5
9,cash,610.5
9,heat,610.5
9,lie,610.5
9,selfish,610.5
9,cooking,610.5
9,single,610.5
9,smelly,610.5
9,paycheck,610.5
9,offer,610.5
9,huge,610.5
9,ran,610.5
9,aggressive,610.5
9,summer,610.5
9,doing,610.5
9,promoted,610.5
9,decision,610.5
9,unnecessary,610.5
9,unhappy,610.5
9,screaming,610.5
9,and,610.5
9,on,610.5
9,majority,610.5
9,second,610.5
9,teach,610.5
9,cleanliness,610.5
9,self,610.5
9,quickly,610.5
9,drivethru,610.5
9,miserable,610.5
9,actual,610.5
9,lousy,610.5
9,wasnt,610.5
9,conflict,610.5
9,joke,610.5
9,mentally,610.5
9,longer,610.5
9,opinion,610.5
9,telling,610.5
9,seen,610.5
9,student,610.5
9,child,610.5
9,lead,610.5
9,minimal,610.5
9,positive,610.5
9,worklife,610.5
9,product,610.5
9,abuse,610.5
8,is,677.5
8,employment,677.5
8,started,677.5
8,chance,677.5
8,helpful,677.5
8,responsible,677.5
8,physically,677.5
8,knowledge,677.5
8,depends,677.5
8,true,677.5
8,space,677.5
8,brought,677.5
8,15,677.5
8,sandwich,677.5
8,underpaid,677.5
8,drug,677.5
8,fire,677.5
8,messed,677.5
8,careless,677.5
8,cutting,677.5
8,dead,677.5
8,result,677.5
8,sense,677.5
8,correctly,677.5
8,future,677.5
8,program,677.5
8,basis,677.5
8,hold,677.5
8,parttime,677.5
8,unfriendly,677.5
8,besides,677.5
8,throw,677.5
8,organized,677.5
8,min,677.5
8,maybe,677.5
8,again,677.5
8,compensation,677.5
8,value,677.5
8,cover,677.5
8,ended,677.5
8,causing,677.5
8,mobility,677.5
8,honestly,677.5
8,morale,677.5
8,window,677.5
8,keeping,677.5
8,building,677.5
8,hit,677.5
8,course,677.5
8,enjoy,677.5
8,teenager,677.5
8,glove,677.5
8,yet,677.5
8,easily,677.5
8,plus,677.5
8,anywhere,677.5
8,doesnt,677.5
8,role,677.5
8,particular,677.5
8,name,677.5
8,regardless,677.5
8,be,677.5
8,50,677.5
8,received,677.5
8,word,677.5
8,highly,677.5
8,not,677.5
8,lobby,677.5
8,except,677.5
8,talking,677.5
7,enviroment,762.0
7,item,762.0
7,mind,762.0
7,stressed,762.0
7,schoolers,762.0
7,view,762.0
7,patience,762.0
7,mcds,762.0
7,qualified,762.0
7,offered,762.0
7,base,762.0
7,teen,762.0
7,id,762.0
7,unsafe,762.0
7,running,762.0
7,occasional,762.0
7,reputation,762.0
7,fairly,762.0
7,homeless,762.0
7,hell,762.0
7,personally,762.0
7,table,762.0
7,act,762.0
7,using,762.0
7,maintenance,762.0
7,assigned,762.0
7,fryer,762.0
7,woman,762.0
7,burned,762.0
7,looking,762.0
7,send,762.0
7,younger,762.0
7,cannot,762.0
7,happy,762.0
7,effort,762.0
7,managing,762.0
7,24,762.0
7,seemed,762.0
7,covered,762.0
7,flexibility,762.0
7,they,762.0
7,cool,762.0
7,of,762.0
7,minor,762.0
7,car,762.0
7,price,762.0
7,upon,762.0
7,although,762.0
7,confusing,762.0
7,ac,762.0
7,kept,762.0
7,along,762.0
7,weekly,762.0
7,burger,762.0
7,promise,762.0
7,trainer,762.0
7,can,762.0
7,twice,762.0
7,appreciated,762.0
7,serious,762.0
7,three,762.0
7,face,762.0
7,seriously,762.0
7,okay,762.0
7,hourly,762.0
7,leader,762.0
7,drink,762.0
7,blamed,762.0
7,senior,762.0
7,world,762.0
7,handling,762.0
7,advantage,762.0
7,large,762.0
7,overwhelming,762.0
7,condescending,762.0
7,moment,762.0
7,non,762.0
7,inflexible,762.0
7,zero,762.0
7,oil,762.0
7,last,762.0
7,weak,762.0
7,shoe,762.0
7,top,762.0
7,fight,762.0
7,line,762.0
7,watch,762.0
7,promised,762.0
